method,episodes,seconds,expl_mean,expl_std
PPO_tailavg,150016,119.57,0.167759,0.230481
PPO_tailavg,165120,131.73,0.074754,0.096696
PPO_tailavg,180224,144.58,0.038196,0.031100
PPO_tailavg,195072,156.25,0.039742,0.031607
PPO_tailavg,210176,168.67,0.039530,0.032603
PPO_tailavg,225024,180.55,0.035675,0.033109
PPO_tailavg,240128,193.08,0.031578,0.029233
PPO_tailavg,255232,205.32,0.032481,0.030939
PPO_tailavg,270080,217.36,0.033133,0.032300
PPO_tailavg,285184,228.95,0.032223,0.030593
PPO_tailavg,300032,240.45,0.030802,0.029489
PPO_last,256,0.23,1.553695,0.032467
PPO_last,15104,12.17,0.006665,0.007040
PPO_last,30208,25.12,0.031092,0.025837
PPO_last,45056,37.02,0.031535,0.043932
PPO_last,60160,49.14,0.060196,0.046347
PPO_last,75008,60.80,0.061603,0.062499
PPO_last,90112,72.39,0.029056,0.026474
PPO_last,105216,84.38,0.041689,0.053496
PPO_last,120064,95.86,0.028144,0.023031
PPO_last,135168,108.10,0.028303,0.033038
PPO_last,150016,119.57,0.167759,0.230481
PPO_last,165120,131.73,0.026968,0.025240
PPO_last,180224,144.58,0.066196,0.076969
PPO_last,195072,156.25,0.073850,0.077908
PPO_last,210176,168.67,0.048220,0.060449
PPO_last,225024,180.55,0.026533,0.030291
PPO_last,240128,193.08,0.098329,0.122324
PPO_last,255232,205.32,0.062407,0.075779
PPO_last,270080,217.36,0.057213,0.048812
PPO_last,285184,228.95,0.043409,0.040151
PPO_last,300032,240.45,0.038536,0.048267
PPG_tailavg,150016,132.63,0.005087,0.009593
PPG_tailavg,165120,146.11,0.031142,0.059640
PPG_tailavg,180224,159.38,0.022272,0.041894
PPG_tailavg,195072,173.37,0.006545,0.010982
PPG_tailavg,210176,186.90,0.002775,0.003741
PPG_tailavg,225024,199.92,0.001429,0.001061
PPG_tailavg,240128,213.26,0.000794,0.000233
PPG_tailavg,255232,226.65,0.000795,0.000253
PPG_tailavg,270080,239.31,0.000763,0.000209
PPG_tailavg,285184,252.29,0.000701,0.000193
PPG_tailavg,300032,264.87,0.000663,0.000172
PPG_last,256,0.24,1.551666,0.067438
PPG_last,15104,13.39,0.002843,0.000224
PPG_last,30208,26.62,0.001843,0.001426
PPG_last,45056,40.03,0.000506,0.000153
PPG_last,60160,53.42,0.005804,0.010281
PPG_last,75008,66.67,0.001565,0.002841
PPG_last,90112,79.91,0.012239,0.023643
PPG_last,105216,93.33,0.001031,0.001088
PPG_last,120064,106.16,0.010111,0.018843
PPG_last,135168,119.60,0.017690,0.020887
PPG_last,150016,132.63,0.005087,0.009593
PPG_last,165120,146.11,0.032157,0.062768
PPG_last,180224,159.38,0.003921,0.007545
PPG_last,195072,173.37,0.000085,0.000070
PPG_last,210176,186.90,0.006914,0.013662
PPG_last,225024,199.92,0.000829,0.000607
PPG_last,240128,213.26,0.000211,0.000146
PPG_last,255232,226.65,0.000739,0.001130
PPG_last,270080,239.31,0.009427,0.018523
PPG_last,285184,252.29,0.015691,0.031138
PPG_last,300032,264.87,0.035931,0.048863
DeepPG_RPG_tailavg,150000,95.34,0.350415,0.059979
DeepPG_RPG_tailavg,165000,104.39,0.372574,0.063732
DeepPG_RPG_tailavg,180000,113.20,0.369030,0.065938
DeepPG_RPG_tailavg,195000,122.48,0.365994,0.073591
DeepPG_RPG_tailavg,210000,131.13,0.368011,0.072471
DeepPG_RPG_tailavg,225000,139.70,0.368106,0.073680
DeepPG_RPG_tailavg,240000,148.95,0.366897,0.078907
DeepPG_RPG_tailavg,255000,158.38,0.366502,0.084688
DeepPG_RPG_tailavg,270000,167.14,0.367521,0.089181
DeepPG_RPG_tailavg,285000,175.86,0.369602,0.093024
DeepPG_RPG_tailavg,300000,184.85,0.369878,0.095712
DeepPG_RPG_last,1,0.00,1.766419,0.016803
DeepPG_RPG_last,15000,10.01,0.862514,0.062788
DeepPG_RPG_last,30000,20.23,0.583779,0.031219
DeepPG_RPG_last,45000,29.98,0.480838,0.054898
DeepPG_RPG_last,60000,39.70,0.420699,0.045773
DeepPG_RPG_last,75000,49.16,0.398953,0.054065
DeepPG_RPG_last,90000,59.26,0.356753,0.038391
DeepPG_RPG_last,105000,68.17,0.375343,0.069904
DeepPG_RPG_last,120000,77.27,0.371747,0.075990
DeepPG_RPG_last,135000,86.40,0.392637,0.100334
DeepPG_RPG_last,150000,95.34,0.350415,0.059979
DeepPG_RPG_last,165000,104.39,0.379233,0.071684
DeepPG_RPG_last,180000,113.20,0.377313,0.134967
DeepPG_RPG_last,195000,122.48,0.372827,0.094730
DeepPG_RPG_last,210000,131.13,0.386320,0.072544
DeepPG_RPG_last,225000,139.70,0.373679,0.104227
DeepPG_RPG_last,240000,148.95,0.386207,0.139741
DeepPG_RPG_last,255000,158.38,0.373962,0.112753
DeepPG_RPG_last,270000,167.14,0.408572,0.131606
DeepPG_RPG_last,285000,175.86,0.367711,0.127460
DeepPG_RPG_last,300000,184.85,0.382530,0.143305
NFSP,1,0.00,1.826415,0.000000
NFSP,15000,11.90,1.377580,0.039219
NFSP,30000,26.75,1.324005,0.023255
NFSP,45000,40.35,1.327041,0.012932
NFSP,60000,54.73,1.304941,0.032119
NFSP,75000,69.88,1.275186,0.028670
NFSP,90000,84.28,1.261043,0.025378
NFSP,105000,99.61,1.257492,0.024831
NFSP,120000,114.74,1.249270,0.038330
NFSP,135000,129.99,1.235027,0.033678
NFSP,150000,146.20,1.225104,0.034295
NFSP,165000,161.63,1.218121,0.025024
NFSP,180000,177.51,1.201942,0.021499
NFSP,195000,194.28,1.210186,0.027811
NFSP,210000,210.21,1.191517,0.013755
NFSP,225000,225.95,1.180481,0.025744
NFSP,240000,241.92,1.191646,0.010150
NFSP,255000,257.77,1.176415,0.021302
NFSP,270000,273.42,1.165353,0.022977
NFSP,285000,289.13,1.157369,0.022501
NFSP,300000,304.86,1.160300,0.024891
CFR,,64.45,0.006855,0.0
PSRO,,57.51,0.025183,0.002202
DeepCFR,,284.29,0.029555,0.004615
